epoch,lr,train_total_loss,train_age_mae,train_gender_accuracy,train_age_bucket_accuracy,train_regression_bucket_accuracy,val_total_loss,val_age_mae,val_gender_accuracy,val_age_bucket_accuracy,val_regression_bucket_accuracy
1,0.001,12.18534055466262,12.405272677117747,0.5379979509431688,0.4010727415175074,0.3443018140179594,8.759371135312607,8.966842832301479,0.6355455568053994,0.40973003374578176,0.3984814398200225
2,0.001,8.95620374536454,9.191064682199304,0.5580666546133912,0.4462122581811607,0.40040981136623877,15.627838804161321,15.932968026875646,0.5728346456692913,0.4389763779527559,0.4015748031496063
3,0.001,7.939134041626358,8.202994333115738,0.5913336949315977,0.4890013861266799,0.42023744952690895,7.159586278874641,7.416570336833446,0.5992688413948256,0.5286839145106862,0.42266591676040494
4,0.001,7.512222979388171,7.800124873723014,0.6207436870969686,0.5085879587777978,0.4300608690411619,6.764627036683605,7.040185212887849,0.6459505061867267,0.499718785151856,0.4541619797525309
5,0.001,7.341194442388543,7.648640332820869,0.6499126137527873,0.5188935093111553,0.4359067076478033,6.998155929642667,7.350698140863627,0.6833520809898763,0.5286839145106862,0.3892013498312711
6,0.001,6.950822319309398,7.293343591749693,0.6908334839992768,0.5189537756885434,0.4458506599168324,6.8875068239741974,7.335785834020249,0.7699662542182227,0.5388076490438695,0.4145106861642295
7,0.001,6.674880843132938,7.1544491948690885,0.7865364912915085,0.5062978364370517,0.4449466642560116,6.212428927019289,6.7767421714332965,0.8430821147356581,0.5075928008998876,0.47103487064116983
8,0.001,6.367129900726611,6.923800984493957,0.8302296148978485,0.5194961730850358,0.4577834026396673,5.614269505469684,6.2557185103842325,0.8692350956130483,0.5098425196850394,0.48059617547806527
9,0.001,6.30945643988985,6.9009645888698055,0.8489121918881456,0.5267281383716025,0.4554330139215332,5.982870794924896,6.612730986221837,0.8624859392575928,0.5433070866141733,0.484251968503937
10,0.001,6.015235820127239,6.6257606049576285,0.8565057554390405,0.5345025010546616,0.4657988308322787,5.176194437175017,5.821502465398561,0.8807649043869517,0.5545556805399325,0.5095613048368954
11,0.001,5.981659261082422,6.600292732133246,0.8636774543482191,0.5390224793587658,0.47381425902489,5.250667027064732,5.907538191422703,0.8892013498312711,0.5674915635545557,0.5019685039370079
12,0.001,5.785590084912527,6.423639336072291,0.8725366118242632,0.5461339118905563,0.4755017175917556,5.27254813540773,5.935426669427863,0.8852643419572553,0.561586051743532,0.4957817772778403
13,0.001,5.78205489503075,6.441634402409145,0.8781413849213524,0.5532453444223467,0.4763454468751883,5.127254543744271,5.797718329457786,0.8813273340832396,0.5736782902137233,0.5146231721034871
14,0.001,5.750818630084705,6.406585166232032,0.8785029831856808,0.5526426806484662,0.4799011631410836,5.457065573693394,6.11036677512731,0.8652980877390326,0.5506186726659168,0.5059055118110236
15,0.001,5.657717607353678,6.323071123965573,0.8827216296028446,0.5569215934430182,0.4805640932923522,5.216343969810666,5.893343751288372,0.9015748031496063,0.563273340832396,0.5036557930258717
16,0.001,5.50215102655938,6.174340732854996,0.8865786777556801,0.5634906285783161,0.48719339480503826,5.627981749642955,6.329442295167255,0.8937007874015748,0.546400449943757,0.48959505061867264
17,0.0005,5.395856382531728,6.078170216518896,0.8898933285120232,0.5648767552582414,0.490206713674441,5.79311225438413,6.32971265177893,0.8236782902137233,0.5494938132733408,0.4628796400449944
18,0.0005,5.07402088602894,5.765460335226966,0.9000180799132164,0.5769300307358525,0.5023805219068281,5.315024434916751,6.011340340861319,0.907199100112486,0.5686164229471317,0.4637232845894263
19,0.0005,4.920568052571311,5.6232911622783615,0.9036943289338878,0.5794009522087628,0.5111794130054842,4.498700184012157,5.217572322913578,0.9105736782902137,0.577334083239595,0.5269966254218222
20,0.0005,4.883735464083769,5.594168722356543,0.9068884469354547,0.5819924064364491,0.5062375700596637,5.376407875923526,5.958712182008778,0.8700787401574803,0.5739595050618672,0.46737907761529807
21,0.0005,4.814630672972334,5.528605001525796,0.9065871150485144,0.5856686554571204,0.5134092689688423,4.416905363445475,5.101696185608414,0.9119797525309337,0.5897075365579303,0.5284026996625422
22,0.0005,4.798120417100916,5.514144414262071,0.9096607002953052,0.5879587777978665,0.5147351292713795,5.549597814193056,6.233804829896368,0.90748031496063,0.5660854893138357,0.49465691788526434
